id,species,observed_on,time_observed_at,place,created_at,quality_grade,user,latitude,longitude,num_identification_agreements,num_identification_disagreements,captive,annotations,url,annotations_parsed,life_stage,sex,alive_or_dead
261884691,Northern Diamondback Terrapin,2024-06-24 16:16:00-04:00,,"Cape May County, US-NJ, US",2025-02-16 15:23:48-05:00,research,vinniemodesto,39.0509349049,-74.6954939346,3,0,False,[],https://www.inaturalist.org/observations/261884691,[],,,
254257962,Northern Diamondback Terrapin,2024-10-07 13:53:00-04:00,,"New Jersey, US",2024-12-05 19:46:44-05:00,research,oliverpatrick,39.4910848971,-74.5039070273,2,0,False,[],https://www.inaturalist.org/observations/254257962,[],,,
254049481,Northern Diamondback Terrapin,2024-10-02 14:38:00-04:00,,United States,2024-12-03 18:16:16-05:00,research,meegsc,38.9541615291,-74.9662099632,2,0,False,[],https://www.inaturalist.org/observations/254049481,[],,,
253770912,Malaclémyde du Nord,2024-06-27 11:44:00-04:00,,"New Jersey, US",2024-12-01 12:06:47-05:00,research,fredlelievre,39.5165240068,-74.4742655925,3,0,False,[],https://www.inaturalist.org/observations/253770912,[],,,
253770907,Malaclémyde du Nord,2024-06-27 09:17:00-04:00,,"New Jersey, US",2024-12-01 12:06:46-05:00,research,fredlelievre,39.4273027252,-74.5861937167,2,0,False,[],https://www.inaturalist.org/observations/253770907,[],,,
253770906,Malaclémyde du Nord,2024-06-27 09:04:00-04:00,,"New Jersey, US",2024-12-01 12:06:46-05:00,research,fredlelievre,39.5442527199,-74.4788644139,2,0,False,[],https://www.inaturalist.org/observations/253770906,[],,,
253770905,Malaclémyde du Nord,2024-06-27 06:59:00-04:00,,"New Jersey, US",2024-12-01 12:06:46-05:00,research,fredlelievre,39.5328760823,-74.4196337742,2,0,False,[],https://www.inaturalist.org/observations/253770905,[],,,
251702814,Northern Diamondback Terrapin,2024-11-14 12:11:51-05:00,,"New Jersey, US",2024-11-14 16:15:50-05:00,research,rkluzco,39.517002102,-74.3229260427,1,0,False,[],https://www.inaturalist.org/observations/251702814,[],,,
251494634,Northern Diamondback Terrapin,2024-09-29 08:00:14-04:00,,United States,2024-11-12 18:20:56-05:00,research,thesmilinggrinner,39.3252461906,-75.2465277504,2,0,False,"[{'uuid': '92c26ee3-1e34-4e39-a436-62b0a566a2d1', 'controlled_attribute_id': 1, 'controlled_value_id': 8, 'concatenated_attr_val': '1|8', 'user_id': 6934023, 'votes': [], 'user': {'id': 6934023, 'login': 'dark_l0rd2', 'spam': False, 'suspended': False, 'created_at': '2023-05-23T19:58:18+00:00', 'login_autocomplete': 'dark_l0rd2', 'login_exact': 'dark_l0rd2', 'name': 'Matthew', 'name_autocomplete': 'Matthew', 'orcid': None, 'icon': 'https://static.inaturalist.org/attachments/users/icons/6934023/eb318459e1491878508b352e0c880949-thumb.jpg?1738370779', 'observations_count': 2511, 'identifications_count': 151058, 'journal_posts_count': 0, 'activity_count': 153569, 'species_count': 626, 'annotated_observations_count': 14072, 'universal_search_rank': 2511, 'roles': [], 'site_id': 1, 'icon_url': 'https://static.inaturalist.org/attachments/users/icons/6934023/eb318459e1491878508b352e0c880949-medium.jpg?1738370779'}, 'vote_score': 0}]",https://www.inaturalist.org/observations/251494634,"[{'uuid': '92c26ee3-1e34-4e39-a436-62b0a566a2d1', 'controlled_attribute_id': 1, 'controlled_value_id': 8, 'concatenated_attr_val': '1|8', 'user_id': 6934023, 'votes': [], 'user': {'id': 6934023, 'login': 'dark_l0rd2', 'spam': False, 'suspended': False, 'created_at': '2023-05-23T19:58:18+00:00', 'login_autocomplete': 'dark_l0rd2', 'login_exact': 'dark_l0rd2', 'name': 'Matthew', 'name_autocomplete': 'Matthew', 'orcid': None, 'icon': 'https://static.inaturalist.org/attachments/users/icons/6934023/eb318459e1491878508b352e0c880949-thumb.jpg?1738370779', 'observations_count': 2511, 'identifications_count': 151058, 'journal_posts_count': 0, 'activity_count': 153569, 'species_count': 626, 'annotated_observations_count': 14072, 'universal_search_rank': 2511, 'roles': [], 'site_id': 1, 'icon_url': 'https://static.inaturalist.org/attachments/users/icons/6934023/eb318459e1491878508b352e0c880949-medium.jpg?1738370779'}, 'vote_score': 0}]",Juvenile,,
249922108,Northern Diamondback Terrapin,2024-10-31 15:43:10-04:00,,"New Jersey, US",2024-10-31 15:38:33-04:00,research,cynthia_varamo,39.5431613831,-74.2882671412,1,0,False,"[{'uuid': '6b227c6d-0452-43e5-baf0-d786e846d09c', 'controlled_attribute_id': 1, 'controlled_value_id': 8, 'concatenated_attr_val': '1|8', 'user_id': 4579970, 'votes': [], 'user': {'id': 4579970, 'login': 'cynthia_varamo', 'spam': False, 'suspended': False, 'created_at': '2021-06-13T16:08:30+00:00', 'login_autocomplete': 'cynthia_varamo', 'login_exact': 'cynthia_varamo', 'name': 'Cynthia Varamo', 'name_autocomplete': 'Cynthia Varamo', 'orcid': None, 'icon': 'https://static.inaturalist.org/attachments/users/icons/4579970/thumb.jpeg?1623600510', 'observations_count': 133, 'identifications_count': 0, 'journal_posts_count': 0, 'activity_count': 133, 'species_count': 13, 'annotated_observations_count': 95, 'universal_search_rank': 133, 'roles': [], 'site_id': None, 'icon_url': 'https://static.inaturalist.org/attachments/users/icons/4579970/medium.jpeg?1623600510'}, 'vote_score': 0}, {'uuid': '149a17fe-fb19-41d1-abdf-942665400ab9', 'controlled_attribute_id': 17, 'controlled_value_id': 18, 'concatenated_attr_val': '17|18', 'user_id': 4579970, 'votes': [], 'user': {'id': 4579970, 'login': 'cynthia_varamo', 'spam': False, 'suspended': False, 'created_at': '2021-06-13T16:08:30+00:00', 'login_autocomplete': 'cynthia_varamo', 'login_exact': 'cynthia_varamo', 'name': 'Cynthia Varamo', 'name_autocomplete': 'Cynthia Varamo', 'orcid': None, 'icon': 'https://static.inaturalist.org/attachments/users/icons/4579970/thumb.jpeg?1623600510', 'observations_count': 133, 'identifications_count': 0, 'journal_posts_count': 0, 'activity_count': 133, 'species_count': 13, 'annotated_observations_count': 95, 'universal_search_rank': 133, 'roles': [], 'site_id': None, 'icon_url': 'https://static.inaturalist.org/attachments/users/icons/4579970/medium.jpeg?1623600510'}, 'vote_score': 0}]",https://www.inaturalist.org/observations/249922108,"[{'uuid': '6b227c6d-0452-43e5-baf0-d786e846d09c', 'controlled_attribute_id': 1, 'controlled_value_id': 8, 'concatenated_attr_val': '1|8', 'user_id': 4579970, 'votes': [], 'user': {'id': 4579970, 'login': 'cynthia_varamo', 'spam': False, 'suspended': False, 'created_at': '2021-06-13T16:08:30+00:00', 'login_autocomplete': 'cynthia_varamo', 'login_exact': 'cynthia_varamo', 'name': 'Cynthia Varamo', 'name_autocomplete': 'Cynthia Varamo', 'orcid': None, 'icon': 'https://static.inaturalist.org/attachments/users/icons/4579970/thumb.jpeg?1623600510', 'observations_count': 133, 'identifications_count': 0, 'journal_posts_count': 0, 'activity_count': 133, 'species_count': 13, 'annotated_observations_count': 95, 'universal_search_rank': 133, 'roles': [], 'site_id': None, 'icon_url': 'https://static.inaturalist.org/attachments/users/icons/4579970/medium.jpeg?1623600510'}, 'vote_score': 0}, {'uuid': '149a17fe-fb19-41d1-abdf-942665400ab9', 'controlled_attribute_id': 17, 'controlled_value_id': 18, 'concatenated_attr_val': '17|18', 'user_id': 4579970, 'votes': [], 'user': {'id': 4579970, 'login': 'cynthia_varamo', 'spam': False, 'suspended': False, 'created_at': '2021-06-13T16:08:30+00:00', 'login_autocomplete': 'cynthia_varamo', 'login_exact': 'cynthia_varamo', 'name': 'Cynthia Varamo', 'name_autocomplete': 'Cynthia Varamo', 'orcid': None, 'icon': 'https://static.inaturalist.org/attachments/users/icons/4579970/thumb.jpeg?1623600510', 'observations_count': 133, 'identifications_count': 0, 'journal_posts_count': 0, 'activity_count': 133, 'species_count': 13, 'annotated_observations_count': 95, 'universal_search_rank': 133, 'roles': [], 'site_id': None, 'icon_url': 'https://static.inaturalist.org/attachments/users/icons/4579970/medium.jpeg?1623600510'}, 'vote_score': 0}]",Juvenile,,Alive
249082086,Northern Diamondback Terrapin,2024-10-25 16:54:00-04:00,,"New Jersey, US",2024-10-25 18:29:10-04:00,research,jellyfishluvr84,39.6617618334,-74.3677578676,1,0,False,"[{'uuid': '388e5f5d-9ecf-46da-9aec-d35889f28061', 'controlled_attribute_id': 1, 'controlled_value_id': 8, 'concatenated_attr_val': '1|8', 'user_id': 7052711, 'votes': [], 'user': {'id': 7052711, 'login': 'iamaturtle', 'spam': False, 'suspended': False, 'created_at': '2023-06-18T22:15:23+00:00', 'login_autocomplete': 'iamaturtle', 'login_exact': 'iamaturtle', 'name': None, 'name_autocomplete': None, 'orcid': None, 'icon': None, 'observations_count': 21, 'identifications_count': 23, 'journal_posts_count': 0, 'activity_count': 44, 'species_count': 13, 'annotated_observations_count': 17, 'universal_search_rank': 21, 'roles': [], 'site_id': 1, 'icon_url': None}, 'vote_score': 0}, {'uuid': 'd7f10de0-0b5b-4c62-a394-b4a9ef5bd902', 'controlled_attribute_id': 22, 'controlled_value_id': 24, 'concatenated_attr_val': '22|24', 'user_id': 7052711, 'votes': [], 'user': {'id': 7052711, 'login': 'iamaturtle', 'spam': False, 'suspended': False, 'created_at': '2023-06-18T22:15:23+00:00', 'login_autocomplete': 'iamaturtle', 'login_exact': 'iamaturtle', 'name': None, 'name_autocomplete': None, 'orcid': None, 'icon': None, 'observations_count': 21, 'identifications_count': 23, 'journal_posts_count': 0, 'activity_count': 44, 'species_count': 13, 'annotated_observations_count': 17, 'universal_search_rank': 21, 'roles': [], 'site_id': 1, 'icon_url': None}, 'vote_score': 0}]",https://www.inaturalist.org/observations/249082086,"[{'uuid': '388e5f5d-9ecf-46da-9aec-d35889f28061', 'controlled_attribute_id': 1, 'controlled_value_id': 8, 'concatenated_attr_val': '1|8', 'user_id': 7052711, 'votes': [], 'user': {'id': 7052711, 'login': 'iamaturtle', 'spam': False, 'suspended': False, 'created_at': '2023-06-18T22:15:23+00:00', 'login_autocomplete': 'iamaturtle', 'login_exact': 'iamaturtle', 'name': None, 'name_autocomplete': None, 'orcid': None, 'icon': None, 'observations_count': 21, 'identifications_count': 23, 'journal_posts_count': 0, 'activity_count': 44, 'species_count': 13, 'annotated_observations_count': 17, 'universal_search_rank': 21, 'roles': [], 'site_id': 1, 'icon_url': None}, 'vote_score': 0}, {'uuid': 'd7f10de0-0b5b-4c62-a394-b4a9ef5bd902', 'controlled_attribute_id': 22, 'controlled_value_id': 24, 'concatenated_attr_val': '22|24', 'user_id': 7052711, 'votes': [], 'user': {'id': 7052711, 'login': 'iamaturtle', 'spam': False, 'suspended': False, 'created_at': '2023-06-18T22:15:23+00:00', 'login_autocomplete': 'iamaturtle', 'login_exact': 'iamaturtle', 'name': None, 'name_autocomplete': None, 'orcid': None, 'icon': None, 'observations_count': 21, 'identifications_count': 23, 'journal_posts_count': 0, 'activity_count': 44, 'species_count': 13, 'annotated_observations_count': 17, 'universal_search_rank': 21, 'roles': [], 'site_id': 1, 'icon_url': None}, 'vote_score': 0}]",Juvenile,,
249010177,Diamondback Terrapin,2024-10-23 11:12:42-04:00,,United States,2024-10-25 08:19:12-04:00,research,litebytes,40.1801638501,-74.0902880654,3,0,False,[],https://www.inaturalist.org/observations/249010177,[],,,
247487416,Northern Diamondback Terrapin,2024-05-02 14:10:41-04:00,,"New Jersey, US",2024-10-15 11:52:54-04:00,research,taybirdlovesthewild,39.4317816071,-74.2655978275,1,0,False,[],https://www.inaturalist.org/observations/247487416,[],,,
246357070,Northern Diamondback Terrapin,2024-10-07 13:54:48-04:00,,"New Jersey, US",2024-10-08 14:42:53-04:00,research,oliverpatrick,39.5807062301,-74.4354824827,2,0,False,[],https://www.inaturalist.org/observations/246357070,[],,,
