sale,first_tree,last_tree,days_between,turn_around
1,"1991-01-01 12:28:00","1991-07-19 19:27:00",199,Average
2,"1991-07-28 11:43:00","1991-12-26 08:10:00",151,Average
3,"1991-12-26 12:30:00","1992-05-06 16:32:00",132,Average
4,"1992-05-19 23:08:00","1992-10-18 13:19:00",152,Average
5,"1992-10-19 00:27:00","1993-03-03 22:36:00",135,Average
6,"1993-03-15 05:19:00","1993-07-27 09:32:00",134,Average
7,"1993-08-08 22:44:00","1994-02-18 04:24:00",194,Average
8,"1994-02-20 17:46:00","1994-07-14 15:56:00",144,Average
9,"1994-07-19 03:33:00","1995-01-31 17:35:00",196,Average
10,"1995-02-13 02:40:00","1995-06-13 05:35:00",120,Average
11,"1995-06-14 10:25:00","1995-11-10 01:25:00",149,Average
12,"1995-11-16 13:40:00","1996-05-28 21:13:00",194,Average
13,"1996-05-31 20:46:00","1996-11-22 23:47:00",175,Average
14,"1996-12-03 16:43:00","1997-04-23 11:47:00",141,Average
15,"1997-05-11 11:04:00","1997-10-22 03:44:00",164,Average
16,"1997-10-22 18:29:00","1998-05-14 14:37:00",204,Slow
17,"1998-05-22 01:53:00","1998-12-27 18:00:00",219,Slow
18,"1999-01-02 08:29:00","1999-06-28 13:15:00",177,Average
19,"1999-07-02 09:47:00","1999-11-30 05:59:00",151,Average
20,"1999-12-07 08:12:00","2000-05-03 01:23:00",148,Average
21,"2000-05-12 19:59:00","2000-10-23 22:14:00",164,Average
22,"2000-10-27 13:41:00","2001-04-07 16:36:00",162,Average
23,"2001-04-14 03:42:00","2001-11-07 14:39:00",207,Slow
24,"2001-11-10 02:22:00","2002-03-02 18:59:00",112,Average
25,"2002-03-12 14:04:00","2002-10-28 18:52:00",230,Slow
26,"2002-11-21 02:50:00","2003-04-16 16:20:00",146,Average
27,"2003-04-25 13:21:00","2003-08-26 15:21:00",123,Average
28,"2003-09-09 01:54:00","2004-01-23 05:24:00",136,Average
29,"2004-02-05 17:52:00","2004-07-30 22:39:00",176,Average
30,"2004-08-01 10:40:00","2005-01-05 17:52:00",157,Average
31,"2005-01-13 20:26:00","2005-06-24 04:32:00",162,Average
32,"2005-06-27 17:30:00","2005-10-29 06:16:00",124,Average
33,"2005-10-31 16:40:00","2006-05-02 12:01:00",183,Average
34,"2006-05-19 03:15:00","2006-11-27 03:41:00",192,Average
35,"2006-12-10 19:23:00","2007-06-09 08:35:00",181,Average
36,"2007-06-22 06:02:00","2007-11-02 21:11:00",133,Average
37,"2007-11-15 08:55:00","2008-05-07 22:49:00",174,Average
38,"2008-05-17 20:37:00","2008-11-16 07:41:00",183,Average
39,"2008-11-29 05:16:00","2009-05-25 10:30:00",177,Average
40,"2009-06-06 05:29:00","2009-11-17 10:59:00",164,Average
41,"2009-11-18 01:40:00","2010-07-19 02:28:00",243,Slow
42,"2010-07-23 04:54:00","2011-01-16 03:12:00",177,Average
43,"2011-01-23 10:25:00","2011-06-07 19:10:00",135,Average
44,"2011-06-09 23:56:00","2011-11-05 19:54:00",149,Average
45,"2011-11-13 02:49:00","2012-07-08 03:08:00",238,Slow
46,"2012-07-08 07:59:00","2015-05-15 06:00:00",1041,Slow
47,"2015-08-05 06:00:00","2019-02-26 06:00:00",1301,Slow
48,"2019-02-26 06:00:00","2019-05-21 06:00:00",84,Fast
49,"2019-06-24 06:00:00","2020-01-29 06:00:00",219,Slow
50,"2020-01-29 06:00:00","2020-06-27 06:00:00",150,Average
51,"2020-08-05 06:00:00","2023-03-10 06:00:00",947,Slow
52,"2023-03-10 06:00:00","2024-05-18 06:00:00",435,Slow
53,"1998-12-04 15:46:00","2024-03-20 05:00:00",9238,Slow
54,"1994-08-10 07:12:00","2020-01-29 06:00:00",9303,Slow
55,"2020-01-29 06:00:00","2021-10-22 06:00:00",632,Slow
56,"2021-10-22 06:00:00","2024-04-09 06:00:00",900,Slow
57,"1991-01-04 16:52:00","1991-08-16 10:23:00",224,Slow
58,"1991-09-03 08:42:00","1992-03-28 14:27:00",207,Slow
59,"1992-04-06 04:08:00","1992-10-24 12:12:00",201,Slow
60,"1992-11-01 20:31:00","1993-06-03 10:55:00",214,Slow
61,"1993-06-21 10:32:00","1994-02-06 09:00:00",230,Slow
62,"1994-02-07 02:54:00","1994-07-16 01:59:00",159,Average
63,"1994-08-02 01:31:00","1995-05-20 05:41:00",291,Slow
64,"1995-05-24 04:37:00","1995-12-31 07:59:00",221,Slow
65,"1996-01-06 02:34:00","1996-10-18 21:05:00",286,Slow
66,"1996-10-20 20:20:00","1997-04-11 00:31:00",173,Average
67,"1997-04-12 21:40:00","1997-11-14 07:09:00",216,Slow
68,"1997-12-07 01:52:00","1998-06-26 17:44:00",201,Slow
69,"1998-07-06 23:23:00","1999-03-03 05:48:00",240,Slow
70,"1999-03-03 06:25:00","1999-09-16 16:15:00",197,Average
71,"1999-09-19 17:35:00","2000-03-12 02:52:00",175,Average
72,"2000-03-20 10:49:00","2000-09-11 05:48:00",175,Average
73,"2000-09-11 23:06:00","2001-02-26 12:18:00",168,Average
74,"2001-03-02 19:28:00","2001-10-30 04:06:00",242,Slow
75,"2001-11-09 22:21:00","2002-05-14 00:20:00",186,Average
76,"2002-05-15 17:19:00","2003-01-20 08:05:00",250,Slow
77,"2003-01-21 06:17:00","2003-09-02 04:31:00",224,Slow
78,"2003-09-04 08:29:00","2004-02-20 23:07:00",169,Average
79,"2004-02-23 23:31:00","2004-08-30 20:37:00",189,Average
80,"2004-09-09 21:00:00","2005-03-25 08:56:00",197,Average
81,"2005-03-30 16:54:00","2005-09-15 16:24:00",169,Average
82,"2005-09-25 16:14:00","2006-04-15 05:49:00",202,Slow
83,"2006-04-26 08:08:00","2006-10-20 09:24:00",177,Average
84,"2006-11-09 16:56:00","2007-03-06 07:32:00",117,Average
85,"2007-03-11 14:45:00","2007-10-16 10:31:00",219,Slow
86,"2007-10-20 00:19:00","2008-05-02 05:18:00",195,Average
87,"2008-05-07 03:46:00","2008-09-09 12:58:00",125,Average
88,"2008-09-12 08:21:00","2009-02-25 14:23:00",166,Average
89,"2009-02-27 04:40:00","2009-10-04 12:00:00",219,Slow
90,"2009-10-06 16:29:00","2010-05-15 05:35:00",221,Slow
91,"2010-05-19 23:29:00","2011-01-09 00:35:00",235,Slow
92,"2011-01-09 02:22:00","2011-07-17 00:45:00",189,Average
93,"2011-07-24 21:41:00","2011-12-25 17:29:00",154,Average
94,"2012-01-03 16:59:00","2012-08-19 20:54:00",229,Slow
95,"2012-08-30 10:07:00","2020-03-17 05:00:00",2756,Slow
96,"2020-05-03 06:00:00","2023-03-09 06:00:00",1040,Slow
97,"2023-03-31 06:00:00","2024-04-14 06:00:00",380,Slow
98,"1992-04-18 10:57:00","2008-09-13 00:31:00",5992,Slow
99,"2009-04-28 17:40:00","2023-08-10 06:00:00",5217,Slow
100,"1993-11-06 01:46:00","2023-10-14 06:00:00",10934,Slow
101,"1991-02-12 16:33:00","1992-05-31 17:45:00",474,Slow
102,"1992-07-02 14:32:00","1994-02-24 01:18:00",602,Slow
103,"1994-03-05 13:08:00","1995-04-25 02:44:00",416,Slow
104,"1995-05-24 10:16:00","1997-01-08 21:40:00",595,Slow
105,"1997-01-19 11:35:00","1999-01-20 15:17:00",731,Slow
106,"1999-02-24 00:59:00","2001-06-11 21:52:00",838,Slow
107,"2001-06-24 07:53:00","2002-10-02 15:53:00",465,Slow
108,"2002-10-27 10:57:00","2004-05-28 06:28:00",579,Slow
109,"2004-06-05 21:15:00","2006-05-25 17:39:00",719,Slow
110,"2006-06-12 02:23:00","2008-06-15 13:38:00",734,Slow
111,"2008-06-20 06:02:00","2009-12-23 17:55:00",551,Slow
112,"2010-03-08 12:42:00","2012-03-15 22:01:00",738,Slow
113,"1991-01-07 14:19:00","1996-01-22 10:22:00",1841,Slow
114,"1996-02-24 18:55:00","2000-04-01 07:34:00",1498,Slow
115,"2000-06-23 01:51:00","2003-07-16 08:20:00",1118,Slow
116,"2003-08-16 05:40:00","2008-10-29 22:53:00",1901,Slow
117,"2009-05-09 22:33:00","2023-08-30 06:00:00",5226,Slow
118,"1991-04-09 15:02:00","2006-09-30 18:09:00",5653,Slow
119,"1991-01-10 04:05:00","1991-06-08 19:02:00",149,Average
120,"1991-06-09 18:57:00","1991-11-15 01:23:00",159,Average
121,"1991-12-02 02:16:00","1992-04-06 14:29:00",126,Average
122,"1992-04-09 17:11:00","1992-09-11 16:21:00",155,Average
123,"1992-09-12 20:45:00","1993-04-08 07:08:00",208,Slow
124,"1993-04-15 02:10:00","1993-09-12 16:45:00",150,Average
125,"1993-09-29 22:07:00","1994-01-07 17:00:00",100,Slow
126,"1994-01-08 21:04:00","1994-05-20 09:52:00",132,Average
127,"1994-05-28 14:04:00","1994-09-19 21:50:00",114,Average
128,"1994-09-20 00:47:00","1995-03-31 07:03:00",192,Average
129,"1995-04-03 05:05:00","1995-09-28 03:17:00",178,Average
130,"1995-10-01 13:23:00","1996-03-07 18:04:00",158,Average
131,"1996-03-14 18:01:00","1996-07-27 16:24:00",135,Average
132,"1996-07-28 20:28:00","1997-02-14 16:43:00",201,Slow
133,"1997-02-14 19:07:00","1997-07-10 03:42:00",146,Average
134,"1997-07-18 08:47:00","1997-11-07 18:49:00",112,Average
135,"1997-11-09 01:53:00","1998-05-31 20:52:00",203,Slow
136,"1998-06-02 07:55:00","1998-11-27 13:06:00",178,Average
137,"1998-12-07 10:28:00","1999-03-25 21:46:00",108,Average
138,"1999-03-28 20:19:00","1999-08-13 14:11:00",138,Average
139,"1999-08-17 07:25:00","1999-12-29 15:01:00",134,Average
140,"2000-01-24 11:29:00","2000-06-24 22:24:00",152,Average
141,"2000-06-27 10:41:00","2000-11-19 09:51:00",145,Average
142,"2000-12-01 22:06:00","2001-04-07 02:29:00",127,Average
143,"2001-04-11 09:51:00","2001-09-01 10:31:00",143,Average
144,"2001-09-04 22:58:00","2002-03-25 14:55:00",202,Slow
145,"2002-04-13 01:33:00","2002-09-26 14:26:00",166,Average
146,"2002-09-28 23:41:00","2003-02-05 02:09:00",130,Average
147,"2003-02-05 07:53:00","2003-07-05 19:27:00",150,Average
148,"2003-07-12 06:08:00","2003-10-18 14:09:00",98,Fast
149,"2003-10-25 08:44:00","2004-05-09 21:42:00",197,Average
150,"2004-05-22 17:10:00","2004-10-19 19:45:00",150,Average
151,"2004-10-19 22:01:00","2005-06-04 22:54:00",228,Slow
152,"2005-06-09 00:56:00","2005-11-20 12:29:00",164,Average
153,"2005-11-21 03:54:00","2006-05-05 00:50:00",165,Average
154,"2006-05-10 23:16:00","2006-09-13 18:40:00",126,Average
155,"2006-09-21 09:49:00","2007-03-12 18:17:00",172,Average
156,"2007-03-14 01:56:00","2007-08-02 17:07:00",141,Average
157,"2007-08-06 04:37:00","2008-02-04 11:46:00",182,Average
158,"2008-02-07 11:03:00","2008-07-29 16:49:00",173,Average
159,"2008-08-13 14:48:00","2009-01-10 00:17:00",150,Average
160,"2009-01-16 20:35:00","2009-05-24 13:11:00",128,Average
161,"2009-05-29 05:16:00","2009-10-05 11:20:00",129,Average
